,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange
168,Beijing,2012,14/01/2012,WC,Final,2,4,DAWKINS_Edward,NZL,10005782695,22.5,17.25,19.458,25.202,2.872,6,
169,Beijing,2012,14/01/2012,WC,Final,2,5,FENG_Yong,HBC_,10004792184,26.1,17.838,18.643,24.549,2.953,5,
170,Beijing,2012,14/01/2012,WC,Final,2,6,MAZQUIARAN_URIA_Hodei,ESP_,10004613039,23.1,25.347,23.522,27.852,2.165,1,
171,London,2012,18/02/2012,WC,R1,1,1,VOLIKAKIS_Christos,GRE,10004633247,23.9,32.145,32.939,39.627,3.344,1,
172,London,2012,18/02/2012,WC,R1,1,2,CRAMPTON_Matthew,SKY_,10003292122,25.7,9,17.915,29.021,5.553,3,
173,London,2012,18/02/2012,WC,R1,1,3,CECI_Francesco,ITA,10006073493,22.2,15.39,16.331,21.811,2.74,2,
174,London,2012,18/02/2012,WC,R1,1,4,ALIAGA_CHIVITE_Sergio,ESP,10006553039,20.3,9,8.475,18.883,5.204,3,
175,London,2012,18/02/2012,WC,R1,1,5,AUDI_Raja,LIB,10006107748,32.3,3.957,3.452,10.394,3.471,5,
176,London,2012,18/02/2012,WC,R1,2,1,VAN_VELTHOOVEN_Simon,NZL_,10005506954,23.2,9,25.76,36.852,5.546,3,
177,London,2012,18/02/2012,WC,R1,2,2,BORISOV_Sergei,RUS,10002558558,29.1,32.054,31.728,35.988,2.13,1,
178,London,2012,18/02/2012,WC,R1,2,3,NITTA_Yudai,JPN,10005727327,26.1,18.012,19.418,25.038,2.81,2,
179,London,2012,18/02/2012,WC,R1,2,4,ESTEBAN_HERRAIZ_Itmar,ESP,10004737119,28.2,9,11.47,22.03,5.28,3,
180,London,2012,18/02/2012,WC,R1,2,5,ARAUJO_Jhonny,VEN_,10007257095,,9,4.31,16.458,6.074,3,
181,London,2012,18/02/2012,WC,R1,3,1,WATANABE_Kazunari,JPN,10003349716,26.8,26.086,27.868,33.574,2.853,1,
182,London,2012,18/02/2012,WC,R1,3,2,KHOZOV_Vladimir,RUS_,10005510085,23.9,17.35,21.066,27.296,3.115,3,
183,London,2012,18/02/2012,WC,R1,3,3,PHILLIP_Njisane,TTO,10006898401,20.7,14.657,17.613,22.963,2.675,6,
184,London,2012,18/02/2012,WC,R1,3,4,ŠPIČKA_Denis,CZE_,10004723476,23.5,17.323,18.444,24.746,3.151,4,
185,London,2012,18/02/2012,WC,R1,3,5,MASSIE_Giddeon,USA,10002260484,30.5,17.073,17.126,23.132,3.003,5,
186,London,2012,18/02/2012,WC,R1,3,6,PUERTA_ZAPATA_Fabian_Hernando,COL,10006904360,20.6,22.424,19.093,24.901,2.904,2,
187,London,2012,18/02/2012,WC,R1,4,1,HOY_Chris,GBR_,10001564310,35.9,31.815,33.706,39.978,3.136,1,
188,London,2012,18/02/2012,WC,R1,4,2,ENDERS_Rene,GER,10004601824,25,9,23.917,33.611,4.847,4,
189,London,2012,18/02/2012,WC,R1,4,3,PERALTA_Juan,ESP,10006552534,21.8,27.53,27.522,32.684,2.581,2,
190,London,2012,18/02/2012,WC,R1,4,4,OKUNEV_Ilya,PHL_,10005748747,22.8,9,16.627,26.351,4.862,4,
191,London,2012,18/02/2012,WC,R1,4,5,MULLEN_Eoin,IRL,10007782616,18.5,9,12.663,22.573,4.955,4,
