Location,Year,Date,Event,Stage,Round,Heat,Athlete,Country,Age,Final_Rank,Rank,Time,Avg Speed
Paris,2022,2022-10-15,WCH,R16,1,12,QUINTERO CHAVARRO Kevin Santiago,COL,23.980821917808218,14.0,1.0,10.112,71.20253164556962
Paris,2022,2022-10-15,WCH,R16,1,12,TERASAKI Kohei,JPN,28.797260273972604,20.0,2.0,10.148,70.94994087504928
Paris,2022,2022-10-15,WCH,R8,1,1,LAVREYSEN Harrie,NED,25.605479452054794,1.0,1.0,9.889,72.8081706947113
Paris,2022,2022-10-15,WCH,R8,1,1,QUINTERO CHAVARRO Kevin Santiago,COL,23.980821917808218,14.0,2.0,10.363,69.47795040046319
Paris,2022,2022-10-15,WCH,R8,1,2,RICHARDSON Matthew,AUS,,2.0,1.0,9.857,73.04453687734605
Paris,2022,2022-10-15,WCH,R8,1,2,ORTEGA FONTALVO Cristian David,COL,,13.0,2.0,10.033,71.76318150104655
Paris,2022,2022-10-15,WCH,R8,1,3,GLAETZER Matthew,AUS,,3.0,1.0,9.962,72.27464364585425
Paris,2022,2022-10-15,WCH,R8,1,3,ČECHMAN Martin,CZE,24.002739726027396,15.0,2.0,10.056,71.59904534606206
Paris,2022,2022-10-15,WCH,R8,1,4,RUDYK Mateusz,POL,27.257534246575343,4.0,1.0,10.108,71.23070834982192
Paris,2022,2022-10-15,WCH,R8,1,4,BÖTTICHER Stefan,GER,,12.0,2.0,10.162,70.85219444991142
Paris,2022,2022-10-15,WCH,R8,1,5,TJON EN FA Jaïr,SUR,,8.0,1.0,10.117,71.16734209745971
Paris,2022,2022-10-15,WCH,R8,1,5,CORNISH Thomas,AUS,,9.0,2.0,10.648000000000001,67.61833208114199
Paris,2022,2022-10-15,WCH,R8,1,6,HELAL Rayan,FRA,23.747945205479454,7.0,1.0,9.854,73.06677491374062
Paris,2022,2022-10-15,WCH,R8,1,6,OTA Kaiya,JPN,,10.0,2.0,9.880999999999998,72.86711871268092
Paris,2022,2022-10-15,WCH,R8,1,7,CARLIN Jack,GBR,,6.0,1.0,10.283,70.01847709812311
Paris,2022,2022-10-15,WCH,R8,1,7,SARNECKI Rafal,POL,32.78904109589041,16.0,2.0,10.338999999999999,69.6392300996228
Paris,2022,2022-10-15,WCH,R8,1,8,TURNBULL Hamish,GBR,23.273972602739725,5.0,1.0,9.99,72.07207207207207
Paris,2022,2022-10-15,WCH,R8,1,8,VIGIER Sébastien,FRA,25.50958904109589,11.0,2.0,9.991,72.06485837253528
Paris,2022,2022-10-15,WCH,QF,1,1,LAVREYSEN Harrie,NED,25.605479452054794,1.0,1.0,10.04,71.71314741035857
Paris,2022,2022-10-15,WCH,QF,1,1,TURNBULL Hamish,GBR,23.273972602739725,5.0,2.0,10.133999999999999,71.04795737122559
Paris,2022,2022-10-15,WCH,QF,1,2,RICHARDSON Matthew,AUS,,2.0,1.0,9.872,72.93354943273906
Paris,2022,2022-10-15,WCH,QF,1,2,CARLIN Jack,GBR,,6.0,2.0,12.139,59.31295823379191
Paris,2022,2022-10-15,WCH,QF,1,3,GLAETZER Matthew,AUS,,3.0,1.0,9.765,73.73271889400921
Paris,2022,2022-10-15,WCH,QF,1,3,HELAL Rayan,FRA,23.747945205479454,7.0,2.0,10.338000000000001,69.64596633778294
Paris,2022,2022-10-15,WCH,QF,1,4,RUDYK Mateusz,POL,27.257534246575343,4.0,1.0,10.007,71.94963525532128
Paris,2022,2022-10-15,WCH,QF,1,4,TJON EN FA Jaïr,SUR,,8.0,2.0,10.048,71.65605095541402
Paris,2022,2022-10-15,WCH,SF,1,1,LAVREYSEN Harrie,NED,25.605479452054794,1.0,1.0,9.934,72.47835715723778
Paris,2022,2022-10-15,WCH,SF,1,1,RUDYK Mateusz,POL,27.257534246575343,4.0,2.0,10.332999999999998,69.67966708603504
Paris,2022,2022-10-15,WCH,SF,1,2,RICHARDSON Matthew,AUS,,2.0,1.0,9.79,73.5444330949949
Paris,2022,2022-10-15,WCH,SF,1,2,GLAETZER Matthew,AUS,,3.0,2.0,9.805,73.43192248852627
Paris,2022,2022-10-15,WCH,F,1,G,LAVREYSEN Harrie,NED,25.605479452054794,1.0,1.0,9.686,74.33409043981004
Paris,2022,2022-10-15,WCH,F,1,G,RICHARDSON Matthew,AUS,,2.0,2.0,9.841,73.16329641296616
Paris,2022,2022-10-15,WCH,F,1,B,GLAETZER Matthew,AUS,,3.0,1.0,9.838,73.18560683065664
Paris,2022,2022-10-15,WCH,F,1,B,RUDYK Mateusz,POL,27.257534246575343,4.0,2.0,10.061,71.56346287645363
Cali,2022,2022-07-10,NC,R16,1,1,DÖRNBACH Maximilian,GER,,5.0,1.0,10.246,70.27132539527621
Cali,2022,2022-07-10,NC,R16,1,1,VERDUGO OSUNA Edgar,MEX,,28.0,2.0,10.397,69.25074540732903
Cali,2022,2022-07-10,NC,R16,1,2,TJON EN FA Jaïr,SUR,,9.0,1.0,10.554,68.22057987492893
Cali,2022,2022-07-10,NC,R16,1,2,JONAUSKAS Svaj?nas,LTU,27.53698630136986,27.0,2.0,10.63,67.73283160865475
Cali,2022,2022-07-10,NC,R16,1,3,ZHOU Yu,CHN,23.526027397260275,6.0,1.0,10.512,68.4931506849315
Cali,2022,2022-07-10,NC,R16,1,3,RUIZ TERAN Juan,MEX,,26.0,2.0,10.753,66.95805821631173
Cali,2022,2022-07-10,NC,R16,1,4,LANDERNEAU Melvin,FRA,24.797260273972604,7.0,1.0,11.048,65.17016654598117
Cali,2022,2022-07-10,NC,R16,1,4,KALOGEROPOULOS Ioannis,GRE,28.512328767123286,25.0,2.0,11.275,63.85809312638581
Cali,2022,2022-07-10,NC,R16,1,5,XUE Chenxi,CHN,21.46301369863014,10.0,1.0,10.354,69.53834266949971
Cali,2022,2022-07-10,NC,R16,1,5,MORENO SANCHEZ Jose,ESP,28.660273972602738,24.0,2.0,10.604,67.89890607317994
